s__Campylobacter_hominis,s__Corynebacterium_sp_HFH0082,s__Dorea_unclassified,s__Facklamia_unclassified,s__Faecalibacterium_prausnitzii,s__Parvimonas_unclassified,s__Riemerella_unclassified,s__Rothia_mucilaginosa,s__Slackia_exigua,s__Staphylococcus_pettenkoferi,s__Streptococcus_infantis,s__Ureaplasma_parvum,s__Akkermansia_muciniphila,s__Bacteroides_vulgatus,s__Klebsiella_unclassified,s__Lachnospiraceae_bacterium_8_1_57FAA,s__Peptoniphilus_sp_BV3AC2,s__Peptostreptococcus_anaerobius,s__Atopobium_parvulum,s__Clostridiales_bacterium_BV3C26,s__Lactobacillus_rhamnosus,s__Streptococcus_constellatus,s__Streptococcus_intermedius,s__Bacteroides_uniformis,s__Eubacterium_rectale,s__Mobiluncus_unclassified,s__Pantoea_unclassified,s__Ruminococcus_obeum,s__Streptococcus_mitis_oralis_pneumoniae,s__Streptococcus_parasanguinis,s__Streptococcus_thermophilus,s__Atopobium_vaginae,s__Collinsella_aerofaciens,s__Corynebacterium_urealyticum,s__Lactobacillus_jensenii,s__Lactobacillus_vaginalis,s__Peptoniphilus_sp_oral_taxon_375,s__Ruminococcus_torques,s__Staphylococcus_warneri,s__Coriobacteriaceae_bacterium_BV3Ac1,s__Eggerthella_unclassified,s__Prevotella_disiens,s__Staphylococcus_simulans,s__Dialister_invisus,s__Slackia_unclassified,s__Veillonella_atypica,s__Gardnerella_vaginalis,s__Peptoniphilus_rhinitidis,s__Streptococcus_salivarius,s__Veillonella_parvula,s__Bifidobacterium_breve,s__Lactobacillus_iners,s__Bifidobacterium_dentium,s__Klebsiella_pneumoniae,s__Lactobacillus_crispatus,s__Staphylococcus_lugdunensis,s__Streptococcus_agalactiae,s__Veillonella_unclassified,s__Corynebacterium_amycolatum,s__Corynebacterium_striatum,s__Alloscardovia_omnicolens,s__Bifidobacterium_longum,s__Brevibacterium_massiliense,s__Fusobacterium_nucleatum,s__Porphyromonas_uenonis,s__Prevotella_bergensis,s__Peptoniphilus_duerdenii,s__Subdoligranulum_unclassified,s__Prevotella_bivia,s__Actinomyces_turicensis,s__Staphylococcus_hominis,s__Propionibacterium_avidum,s__Dialister_micraerophilus,s__Porphyromonas_asaccharolytica,s__Actinobaculum_massiliense,s__Corynebacterium_aurimucosum,s__Porphyromonas_somerae,s__Mobiluncus_curtisii,s__Pseudomonas_unclassified,s__Lactobacillus_gasseri,s__Staphylococcus_haemolyticus,s__Actinomyces_europaeus,s__Propionibacterium_acnes,s__Aerococcus_urinae,s__Anaerococcus_hydrogenalis,s__Anaerococcus_lactolyticus,s__Facklamia_ignava,s__Peptoniphilus_lacrimalis,s__Corynebacterium_pseudogenitalium,s__Escherichia_unclassified,s__Streptococcus_anginosus,s__Campylobacter_ureolyticus,s__Porphyromonas_bennonis,s__Corynebacterium_tuberculostearicum,s__Escherichia_coli,s__Prevotella_buccalis,s__Prevotella_timonensis,s__Propionimicrobium_lymphophilum,s__Anaerococcus_vaginalis,s__Anaerococcus_obesiensis,s__Enterococcus_faecalis,s__Actinobaculum_schaalii,s__Corynebacterium_pyruviciproducens,s__Actinomyces_neuii,s__Facklamia_hominis,s__Staphylococcus_epidermidis,s__Anaerococcus_prevotii,s__Varibaculum_cambriense,s__Peptoniphilus_harei,s__Finegoldia_magna
105,42874,0,0,0,0,0,0,0,0,0,228500,0,0,0,0,0,0,0,0,8763,0,0,0,0,0,0,0,0,0,0,4688523,0,0,0,0,0,0,5328,0,0,0,0,0,0,0,26656719,0,0,0,0,0,0,0,0,978,0,0,0,236,0,0,137939,1358,0,0,0,0,5479,0,0,0,0,0,0,157791,0,768,0,0,125,463,850,0,34544,535,211791,5295,3054,0,147555,2421,1217,5279,0,659,3681,11781,0,830,0,11772,0,4272,16250,4035,5636,15820,39619,36099
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361979,0,0,0,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11849,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,29833036,39249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21353,0,0,12843,0,5461,1959,2950,1205,10482
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,3,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,28,1,0,0,0,1,0,18,29,0,0,1,0,0,0,0,0,57,0,0,0,10,7,4,76,43,0,20,0,0,55,21,4,0,3,114,5,87,168,402
0,0,0,0,0,0,0,0,0,0,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3278,3514,0,1053,0,0,5015,0,0,0,0,0,4043,0,110,0,12715,4280,0,0,0,917,1242,21502,2436,258,0,11648,3044,0,3996,0,9441,13960,13034,13950
0,0,0,0,0,0,1199,0,0,0,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17434,0,0,0,0,0,46055,0,0,0,6115,0,0,8142,4346,0,877,0,0,179367,0,480,22494,19334,6827,167318,207524,3615,134110,0,0,391300,3696,1657,5041,9382,4582,73370,157181,3598,1442,484982,183282,13301,24886,0,2668,81841,2017931,4263,33899,33197,353292,56140,136745,105175,1903,90374,174256,836438,1183832
0,0,0,0,0,0,0,0,0,0,0,10990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1825280,1232,0,0,0,0,0,0,0,0,0,0,0,0,64147,19186823,0,0,0,3684,661459,0,0,0,1009,0,17393,0,0,0,0,0,730,0,0,0,1380,0,19235,6086,1499,821,0,0,6204,0,0,11471,0,14202,0,7039,0,0,0,0,0,3501,0,6065,0,0,3745,0,0,0,27994,0,0,72901,0,100938,0,11640,55280,3376,3280,46739,165040
0,1444619,0,0,0,0,0,0,0,0,0,0,273,0,0,776,0,0,0,0,0,0,0,0,1584,0,0,0,3744,3682,1384,0,8920,150682,0,0,0,0,0,0,0,0,1355617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,27018391,0,0,0,0,0,1632,4924296,0,0,0,0,0,0,401,0,0,3879,0,0,17560,186,0,80,0,103579,0,1410,1082,0,0,0,3209,0,0,0,0,113,0,0,3089,131647,32975,14748,3122,166822,0,20077,204914
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,652390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24902,0,0,1273,169140,0,0,0,641056,0,0,0,0,0,0,0,3969,231,12520,0,0,0,17533,34779,0,0,0,16860224,0,0,0,3613,27189,1613,0,293,9506,0,17264,0,0,113,0,0,1716,3856,617,1174,0,0,54067,12510,8383,5347,16653,2437,25849,93104
0,0,0,0,0,0,0,0,1605,0,0,0,0,0,64282,0,0,0,0,0,2407,0,0,0,0,2441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11829,0,0,0,1677,0,1905,18845498,0,12704289,0,0,0,0,411,0,1269885,0,0,0,4786,0,0,0,339891,0,0,0,0,1677,0,0,5124,39880,33963,5748,23150,65389,3500,7565,802,25596,709492,399397,3128,4728,0,240645,56727,3901,0,24523,0,4110293,15092,2538,16445,1230038,674968,270166,915405,34930,19278,1385006,1123686,1078169
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70569,0,0,0,22431,0,0,0,0,0,0,6841,0,0,0,0,0,0,0,0,4493291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3560,2558,0,0,242,0,0,0,14737,419,0,0,12014,0,0,0,9154,0,685,0,0,0,0,4747,0,0,1151,0,0,0,90,0,340,4098,12648,26118,24392,216,2070,7790
